City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,hov,NO,46.29,overcast clouds,60.6987,10.3519,Lyngstrand Camping Selj
384,tromso,NO,37.42,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
387,comodoro rivadavia,AR,57.06,clear sky,-45.8667,-67.5,Austral Hotel
388,krasnyy bogatyr,RU,41.11,overcast clouds,56.0145,41.1296,Country house on Oktyabrskaya 5
390,sarakhs,IR,69.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
391,svetlogorsk,BY,46.89,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
392,ulaanbaatar,MN,62.73,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
396,vilhena,BR,71.15,clear sky,-12.7406,-60.1458,Hotel Mirage
397,markova,UA,57.61,overcast clouds,48.6758,24.4138,Vas.VOM
399,haines junction,CA,42.75,overcast clouds,60.7522,-137.5108,Parkside Inn
400,isiro,CD,64.29,overcast clouds,2.7739,27.616,Guest House Hewa Bora
402,khandyga,RU,53.1,light rain,62.6667,135.6,Apel'sin
404,mende,FR,51.31,overcast clouds,44.6667,3.5,Le Plateau du Roy
406,englehart,CA,60.82,broken clouds,47.8169,-79.8664,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
408,harrisburg,US,72.14,overcast clouds,40.2737,-76.8844,Hilton Harrisburg
409,narsaq,GL,37.96,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
411,serenje,ZM,61.14,few clouds,-13.2325,30.2352,The Kabaso's
412,nadym,RU,42.12,overcast clouds,65.5333,72.5167,Apartment on Zvereva
417,funtua,NG,68.27,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
419,turukhansk,RU,44.08,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
420,escanaba,US,67.95,clear sky,45.7453,-87.0646,Sunset Lodge
421,kayseri,TR,55.42,broken clouds,38.737,35.4968,ibis Kayseri
422,bereznik,RU,39.99,overcast clouds,62.8551,42.7072,"Dvina, Gostinitsa, Otel', Pribrezhnyy"
423,jalu,LY,71.56,clear sky,29.0331,21.5482,صاحبة الفخامة
424,blyth,GB,54.46,overcast clouds,55.1271,-1.5086,Carlton house
425,klaksvik,FO,54.52,overcast clouds,62.2266,-6.589,Airbnb rooms
426,faya,SA,63.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
431,cidreira,BR,60.51,scattered clouds,-30.1811,-50.2056,Hotel Castelo
432,noyabrsk,RU,41.32,overcast clouds,63.1994,75.4507,Hotel Uyutnaya
435,lukulu,ZM,70.27,broken clouds,-14.3707,23.242,Ruth Guest House
437,dover,US,74.01,overcast clouds,39.1582,-75.5244,Days Inn by Wyndham Dover Downtown
439,camacha,PT,69.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
440,husavik,IS,48.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
445,nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
449,port hardy,CA,51.98,moderate rain,50.6996,-127.4199,Airport Inn
450,sulecin,PL,59.72,overcast clouds,52.4443,15.1168,Hotel Kormoran Resort & SPA
455,marystown,CA,54.19,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
458,taltal,CL,57.58,clear sky,-25.4,-70.4833,Residencial Karime
462,marrakesh,MA,68.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
465,adra,ES,72.81,clear sky,36.7496,-3.0206,Hostal Zapata
466,sioux lookout,CA,53.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
468,angoche,MZ,72.14,clear sky,-16.2325,39.9086,Guest House HESADA
469,lincolnton,US,73.35,overcast clouds,35.4737,-81.2545,Hampton Inn Lincolnton
470,concepcion del oro,MX,64.45,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
474,batsfjord,NO,41.22,overcast clouds,70.6345,29.7185,Adventure Apartements
476,quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
477,chapada dos guimaraes,BR,69.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
478,mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
481,hamilton,US,70.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
482,sedro-woolley,US,57.81,overcast clouds,48.5039,-122.2361,Natural Resources Department
484,challans,FR,58.12,broken clouds,46.8436,-1.8749,Citotel Le Challans
485,kuusamo,FI,30.24,broken clouds,65.9667,29.1833,Hotel Kuusanka
487,algiers,DZ,73.22,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
488,oromocto,CA,53.74,clear sky,45.8351,-66.4792,Days Inn by Wyndham Oromocto Conference Centre
489,flinders,AU,72.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
491,belyy yar,RU,57.09,clear sky,53.6039,91.3903,Pasportnyy Stol
494,batemans bay,AU,73.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
495,coruripe,BR,73.15,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
497,acari,PE,64.76,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
498,leh,IN,59.25,clear sky,34.1667,77.5833,Hotel Ladakh Greens
500,nanortalik,GL,41.05,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
501,sambava,MG,71.19,light rain,-14.2667,50.1667,Melrose
502,kommunar,RU,41.67,overcast clouds,59.6206,30.39,Guest House Izhora
505,santiago del estero,AR,58.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
506,komatipoort,ZA,64.06,light rain,-25.4332,31.9548,Kruger View Backpackers
507,pirapo,PY,62.42,light rain,-26.85,-55.5333,Seccional Colorada Angel Castro
